Census \ Age,0-4,5-9,10-14,15-19,total,
9330192.00,216,251,250,285,4096,
9330186.01,382,369,385,405,6015,
186.02,301,309,325,334,4977,
186.05,385,439,434,425,5806,
186.06,277,262,250,220,3496,
185.09,293,253,244,214,3890,
185.11,542,541,482,410,6585,
185.1,402,399,344,323,4717,
185.21,251,259,250,224,3446,
185.22,295,268,236,239,3446,
185.17,117,117,132,157,2351,
185.18,274,288,309,344,4701,
185.19,250,212,215,202,3026,
185.2,258,235,227,214,3026,
185.08,50,61,75,103,1209,
185.07,375,409,428,434,5548,
185.12,411,453,480,434,6133,
185.16,343,350,350,321,4425,
185.15,419,365,319,286,5086,
186.07,342,346,336,306,4547,
186.08,369,398,405,392,5259,
191.03,312,302,295,326,4484,
191.04,248,220,229,234,4603,
191.05,206,203,241,256,3739,
191.06,99,75,85,96,1869,
191.07,105,73,85,99,1869,
190.03,286,286,319,349,4694,
190.04,289,359,407,428,5894,
190.05,115,118,123,130,1682,
190.01,314,273,277,299,5505,
189.06,177,189,197,222,2913,
187.04,104,116,118,99,1687,
187.05,487,431,421,385,5893,
184.02,436,438,409,427,6832,
184.15,133,141,185,228,2615,
184.16,301,334,392,417,5229,
184.07,295,313,332,308,4954,
184.08,242,271,311,282,3508,
184.06,118,110,100,85,1371,
184.12,105,67,74,74,1262,
184.13,179,147,140,147,2523,
184.14,121,104,70,65,1261,
182.03,148,165,247,344,3432,
184.11,236,236,249,225,3281,
184.1,200,215,249,275,3150,
184.09,271,327,333,366,4471,
187.03,433,433,437,468,6468,
189.05,330,322,337,375,6982,
189.08,463,440,416,425,6119,
189.03,185,221,254,244,3248,
188.01,103,141,167,194,2059,
188.02,114,139,184,201,2089,
189.07,138,162,145,150,2353,
189.1,282,315,397,430,4833,
189.09,188,223,311,333,4048,
188.08,80,128,201,226,2077,
188.07,181,258,385,468,4154,
188.04,134,169,227,255,2748,
187.12,196,230,265,271,3614,
187.06,186,222,262,286,3615,
187.13,301,317,382,430,5263,
187.11,149,141,146,133,2084,
187.07,75,101,135,150,1588,
187.15,124,151,172,187,2483,
187.14,140,147,163,149,2483,
187.16,126,161,193,207,2483,
182.04,46,83,126,150,1477,
182.05,161,167,175,192,2794,
182.02,32,30,22,18,307,
183.01,399,431,505,490,5959,
183.03,334,331,349,396,5853,
183.05,476,428,388,329,5115,
183.07,302,373,460,514,6445,
183.06,143,149,152,136,2400,
183.08,0,0,0,0,0,
183.09,0,0,0,0,0,
182.06,48,70,91,98,1203,
188.06,54,56,80,73,942,
188.05,88,133,195,257,2254,
182.01,128,170,198,212,2846,
180.01,121,118,101,97,1589,
180.04,150,159,205,224,3305,
180.03,151,159,205,224,3305,
181.13,92,108,135,152,2331,
181.12,93,126,160,169,2331,
181.14,117,117,133,145,2331,
181.1,174,246,350,463,6140,
181.11,37,42,63,84,1228,
181.09,189,332,522,561,6253,
181.03,217,286,415,459,5419,
181.07,137,197,263,296,3597,
181.08,111,140,153,175,2476,
170.04,161,198,235,264,5245,
170.03,42,31,60,69,3240,
170.05,45,33,36,47,2269,
170.08,136,136,160,177,3748,
170.07,174,169,192,190,3748,
181.05,282,285,330,376,7148,
181.16,89,102,125,144,2506,
181.15,89,102,125,143,2505,
185.05,330,369,429,425,4883,
,,,,,,0.069361727
